model,split,horizon,segment,mae,rmse,mape,smape,mase,policy_loss,crps,log_score,coverage_80,coverage_95,n,window_mode,effective_start,effective_end,n_common_dates
ARIMA,validation,12,crisis,4233.43741254068,4524.70204910599,151.51939565229839,78.98044193384935,10.137929031695675,4233.43741254068,3462.7844493390703,-13.502031817877043,0.06666666666666667,0.2,15,full,2021-01-01,2022-03-01,
BVAR,test,1,all,538.5719210264654,601.4651460488567,8.583912575930587,9.06002587977146,1.2897329951438952,1077.1438420529307,350.2657682280258,-7.81671296613597,0.8888888888888888,1.0,9,full,2024-07-01,2025-03-01,
BVAR,test,1,tranquil,538.5719210264654,601.4651460488567,8.583912575930587,9.06002587977146,1.2897329951438952,1077.1438420529307,350.2657682280258,-7.81671296613597,0.8888888888888888,1.0,9,full,2024-07-01,2025-03-01,
BVAR,test,3,all,642.769298955219,678.6882739767417,10.186700262049245,10.790434638097947,1.5392573224910466,1285.538597910438,408.2889836991252,-8.05656982070145,1.0,1.0,7,full,2024-09-01,2025-03-01,
BVAR,test,3,tranquil,642.769298955219,678.6882739767417,10.186700262049245,10.790434638097947,1.5392573224910466,1285.538597910438,408.2889836991252,-8.05656982070145,1.0,1.0,7,full,2024-09-01,2025-03-01,
BVAR,test,6,all,623.3431240368534,660.4910353256568,9.958782978220723,10.538654664183984,1.4927369270090443,1246.6862480737068,433.526956136006,-8.220043688775517,1.0,1.0,4,full,2024-12-01,2025-03-01,
BVAR,test,6,tranquil,623.3431240368534,660.4910353256568,9.958782978220723,10.538654664183984,1.4927369270090443,1246.6862480737068,433.526956136006,-8.220043688775517,1.0,1.0,4,full,2024-12-01,2025-03-01,
BVAR,test,12,all,,,,,,,,,,,0,full,,,
BVAR,test,12,tranquil,,,,,,,,,,,0,full,,,
BVAR,validation,1,all,1361.1543992080367,1641.9730762245806,24.92563840780444,20.810814030818907,3.2595938845048034,1361.1543992080367,1093.6287853627425,-10.850471243381149,0.2727272727272727,0.5454545454545454,11,full,2020-04-01,2021-02-01,
BVAR,validation,1,crisis,1361.1543992080367,1641.9730762245806,24.92563840780444,20.810814030818907,3.2595938845048034,1361.1543992080367,1093.6287853627425,-10.850471243381149,0.2727272727272727,0.5454545454545454,11,full,2020-04-01,2021-02-01,
BVAR,validation,3,all,1806.2103689212088,2114.8107158015896,36.66372725523257,28.826690364309425,4.325381658458644,1806.2103689212088,1419.8573973817763,-10.390030628092584,0.36363636363636365,0.45454545454545453,11,full,2020-06-01,2021-04-01,
BVAR,validation,3,crisis,1806.2103689212088,2114.8107158015896,36.66372725523257,28.826690364309425,4.325381658458644,1806.2103689212088,1419.8573973817763,-10.390030628092584,0.36363636363636365,0.45454545454545453,11,full,2020-06-01,2021-04-01,
BVAR,validation,6,all,2798.458261685353,2983.9452023929266,66.92951017329437,47.02432518221912,6.701544983536693,2798.458261685353,2186.150863256182,-11.295270590070338,0.09090909090909091,0.36363636363636365,11,full,2020-09-01,2021-07-01,
BVAR,validation,6,crisis,2798.458261685353,2983.9452023929266,66.92951017329437,47.02432518221912,6.701544983536693,2798.458261685353,2186.150863256182,-11.295270590070338,0.09090909090909091,0.36363636363636365,11,full,2020-09-01,2021-07-01,
BVAR,validation,12,all,4646.367465186495,4728.103485515322,169.27551645156223,86.22750543416802,11.126783988279351,4646.367465186495,3826.4223038672076,-13.496600059309845,0.0,0.0,11,full,2021-03-01,2022-01-01,
BVAR,validation,12,crisis,4646.367465186495,4728.103485515322,169.27551645156223,86.22750543416802,11.126783988279351,4646.367465186495,3826.4223038672076,-13.496600059309845,0.0,0.0,11,full,2021-03-01,2022-01-01,
DMA,test,1,all,1146.8604803555443,1369.7011256267137,21.02187115301859,24.335150207899403,2.746418341903193,1715.897480336668,,,,,14,full,2024-02-01,2025-03-01,
DMA,test,1,tranquil,1146.8604803555443,1369.7011256267137,21.02187115301859,24.335150207899403,2.746418341903193,1715.897480336668,,,,,14,full,2024-02-01,2025-03-01,
DMA,test,3,all,34463622.649838954,64755613.84169807,619535.2009726096,79.57309987071042,82530.98523772013,68926311.02584136,,,,,12,full,2024-04-01,2025-03-01,
DMA,test,3,tranquil,34463622.649838954,64755613.84169807,619535.2009726096,79.57309987071042,82530.98523772013,68926311.02584136,,,,,12,full,2024-04-01,2025-03-01,
DMA,test,6,all,3.263439231085574e+17,5.364542267333703e+17,5346436406989980.0,200.0,781504770236853.8,6.526878462171148e+17,,,,,9,full,2024-07-01,2025-03-01,
DMA,test,6,tranquil,3.263439231085574e+17,5.364542267333703e+17,5346436406989980.0,200.0,781504770236853.8,6.526878462171148e+17,,,,,9,full,2024-07-01,2025-03-01,
DMA,test,12,all,5.81061530015171e+30,1.0064280866701321e+31,9.580569330475138e+28,200.0,1.3914840306584323e+28,1.162123060030342e+31,,,,,3,full,2025-01-01,2025-03-01,
DMA,test,12,crisis,,,,,,,,,,,0,full,,,
DMA,test,12,tranquil,5.81061530015171e+30,1.0064280866701321e+31,9.580569330475138e+28,200.0,1.3914840306584323e+28,1.162123060030342e+31,,,,,3,full,2025-01-01,2025-03-01,
DMA,validation,1,all,736.842210390841,954.9299116779151,17.9864019574369,16.644262147024147,1.7645363114077544,830.8482204831173,,,,,26,full,2020-02-01,2022-03-01,
DMA,validation,1,crisis,749.396782843571,970.1599711087466,18.492811585365367,17.091157357473058,1.794601091430727,830.2439173766345,,,,,25,full,2020-03-01,2022-03-01,
DMA,validation,1,tranquil,422.97789907259175,422.97789907259175,5.326161259225264,5.471881885801321,1.0129168108334388,845.9557981451835,,,,,1,full,2020-02-01,2020-02-01,
DMA,validation,3,all,1684976.9710694787,2348296.5281732446,29079.59262465173,119.38531891794923,4035.0607055489954,3339851.60546874,,,,,24,full,2020-04-01,2022-03-01,
DMA,validation,3,crisis,1684976.9710694787,2348296.5281732446,29079.59262465173,119.38531891794923,4035.0607055489954,3339851.60546874,,,,,24,full,2020-04-01,2022-03-01,
DMA,validation,6,all,7.38809166443022e+16,9.77356553257962e+16,1437191232195147.2,189.13780848224522,176924663517595.4,1.4765219098766346e+17,,,,,21,full,2020-07-01,2022-03-01,
DMA,validation,6,crisis,7.38809166443022e+16,9.77356553257962e+16,1437191232195147.2,189.13780848224522,176924663517595.4,1.4765219098766346e+17,,,,,21,full,2020-07-01,2022-03-01,
DMA,validation,12,all,1.069416197386153e+33,1.1973768881506188e+33,3.355352733007639e+31,200.0,2.560960387020365e+30,1.069416197386153e+33,,,,,15,full,2021-01-01,2022-03-01,
DMA,validation,12,crisis,1.069416197386153e+33,1.1973768881506188e+33,3.355352733007639e+31,200.0,2.560960387020365e+30,1.069416197386153e+33,,,,,15,full,2021-01-01,2022-03-01,
