model,forecast_origin,forecast_date,horizon,split,actual,forecast,std,lower_80,upper_80,lower_95,upper_95,crps,log_score
Naive,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,461.33232072332765,6921.51237157327,8103.954687292247,6608.53879591078,8416.928262954738,256.27241385305854,-7.484988212211957
Naive,2020-01-01,2020-04-01,3,validation,7209.520101152639,7512.733529432759,461.33232072332765,6921.51237157327,8103.954687292247,6608.53879591078,8416.928262954738,184.57277927774263,-7.269049899817578
Naive,2020-01-01,2020-07-01,6,validation,7095.831822594811,7512.733529432759,461.33232072332765,6921.51237157327,8103.954687292247,6608.53879591078,8416.928262954738,248.66200116456477,-7.461385585226925
Naive,2020-01-01,2021-01-01,12,validation,4841.863004371764,7512.733529432759,461.33232072332765,6921.51237157327,8103.954687292247,6608.53879591078,8416.928262954738,2410.5916356300218,-23.81204984796051
ARIMA,2020-01-01,2020-02-01,1,validation,7941.515070351391,7882.630124383638,425.91750786492565,7336.7948753863175,8428.465373380957,7047.847148583352,8717.413100183925,102.77745095706143,-6.982741349134389
ARIMA,2020-01-01,2020-04-01,3,validation,7209.520101152639,7900.592071854139,621.0373542903133,7104.700678201463,8696.483465506815,6683.381224391117,9117.80291931716,423.789714364639,-7.969458720837271
ARIMA,2020-01-01,2020-07-01,6,validation,7095.831822594811,7433.2063892526,851.7593453983301,6341.632866689786,8524.779911815414,5763.788748776507,9102.624029728693,251.67676258830613,-7.7446867672701
ARIMA,2020-01-01,2021-01-01,12,validation,4841.863004371764,7406.973094124112,1190.2184537739129,5881.646771349605,8932.299416898619,5074.187790992356,9739.758397255868,1906.8065469618036,-10.323185974373992
VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7681.5963339483105,422.9126414333795,7139.611976230592,8223.58069166603,6852.702788132207,8510.489879764413,160.62852205826482,-7.154965847658561
VECM,2020-01-01,2020-04-01,3,validation,7209.520101152639,7731.3733752452645,422.9126414333795,7189.389017527546,8273.357732962982,6902.479829429161,8560.266921061368,327.49218038033865,-7.7274211132133654
VECM,2020-01-01,2020-07-01,6,validation,7095.831822594811,7819.149018193933,422.9126414333795,7277.1646604762145,8361.133375911651,6990.25547237783,8648.042564010037,499.79770522303915,-8.428706462539422
VECM,2020-01-01,2021-01-01,12,validation,4841.863004371764,7994.3729285342,422.9126414333795,7452.388570816481,8536.357286251918,7165.4793827180965,8823.266474350303,2913.9070171150584,-34.74926130344875
BVAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7631.019072231405,439.69289263189415,7067.529957319991,8194.508187142817,6769.236838414679,8492.80130604813,186.7652818452952,-7.254349976905098
BVAR,2020-01-01,2020-04-01,3,validation,7209.520101152639,7688.957169996414,621.1460625965059,6892.926461043749,8484.98787894908,6471.533258168434,8906.381081824395,285.8754307262674,-7.648387814343339
BVAR,2020-01-01,2020-07-01,6,validation,7095.831822594811,7837.942503137071,875.878209783398,6715.459412162405,8960.425594111737,6121.25275711824,9554.632249155902,441.5380364178451,-8.053103986020753
BVAR,2020-01-01,2021-01-01,12,validation,4841.863004371764,8192.208622440505,1216.5268992972901,6633.166670118458,9751.250574762551,5807.859713593696,10576.557531287313,2666.1522706499227,-11.815020938777373
XGBoost,2020-01-01,2020-02-01,1,validation,7941.515070351391,7812.55322265625,9.735118748255392,7800.077165983656,7825.029279328844,7793.472740524449,7831.633704788051,123.46939510277477,-90.93717572167823
XGBoost,2020-01-01,2020-04-01,3,validation,7209.520101152639,7723.4482421875,9.735118748255392,7710.972185514906,7735.924298860094,7704.367760055699,7742.528724319301,508.43568844249506,-1396.6475835546414
XGBoost,2020-01-01,2020-07-01,6,validation,7095.831822594811,8217.3603515625,9.735118748255392,8204.884294889907,8229.836408235093,8198.279869430698,8236.440833694302,1116.0360763753233,-6639.221741371379
XGBoost,2020-01-01,2021-01-01,12,validation,4841.863004371764,8220.4619140625,9.735118748255392,8207.985857389907,8232.937970735093,8201.381431930698,8239.542396194302,3373.10645709837,-60225.97096338391
MS-VAR,2020-01-01,2020-02-01,1,validation,7941.515070351391,7514.615800755811,461.33232072332765,6923.394642896322,8105.836958615299,6610.421067233832,8418.810534277789,255.05593765820282,-7.481204341766291
MS-VAR,2020-01-01,2020-04-01,3,validation,7209.520101152639,7553.239440417704,461.33232072332765,6962.018282558215,8144.460598277193,6649.0447068957255,8457.434173939682,205.50034674286093,-7.330612902358234
MS-VAR,2020-01-01,2020-07-01,6,validation,7095.831822594811,7600.711864857446,461.33232072332765,7009.490706997957,8191.933022716935,6696.517131335468,8504.906598379424,308.6186001788025,-7.651908003724108
MS-VAR,2020-01-01,2021-01-01,12,validation,4841.863004371764,7683.567921259835,461.33232072332765,7092.346763400346,8274.789079119324,6779.373187737857,8587.762654781814,2581.4260270258037,-26.02449285495051
MS-VECM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7489.60113555738,461.33232072332765,6898.379977697891,8080.822293416869,6585.406402035402,8393.795869079358,271.54267804839355,-7.532849963295422
MS-VECM,2020-01-01,2020-04-01,3,validation,7209.520101152639,7498.589793474141,461.33232072332765,6907.368635614652,8089.810951333629,6594.395059952162,8402.78452699612,177.79703362905119,-7.249369417569609
MS-VECM,2020-01-01,2020-07-01,6,validation,7095.831822594811,7486.727294622677,461.33232072332765,6895.506136763188,8077.9484524821655,6582.532561100698,8390.922028144656,232.57358099214645,-7.412031619900039
MS-VECM,2020-01-01,2021-01-01,12,validation,4841.863004371764,7428.091502623986,461.33232072332765,6836.8703447644975,8019.312660483475,6523.896769102008,8332.286236145965,2325.949609812093,-22.766669210451198
LSTM,2020-01-01,2020-02-01,1,validation,7941.515070351391,7556.172931551375,,,,,,,
LSTM,2020-01-01,2020-04-01,3,validation,7209.520101152639,7568.06786644006,,,,,,,
LSTM,2020-01-01,2020-07-01,6,validation,7095.831822594811,7589.42166161597,,,,,,,
LSTM,2020-01-01,2021-01-01,12,validation,4841.863004371764,7618.645851658141,,,,,,,
LocalLevelSV,2020-01-01,2020-02-01,1,validation,7941.515070351391,7544.877993504591,437.6873540629226,6983.959079686004,8105.796907323179,6687.026543052656,8402.729443956527,236.617094234621,-7.41105253625571
LocalLevelSV,2020-01-01,2020-04-01,3,validation,7209.520101152639,7544.877993504591,627.4609731110887,6740.754401095686,8349.001585913496,6315.077084502436,8774.678902506746,216.48539029142927,-7.5034480985174685
LocalLevelSV,2020-01-01,2020-07-01,6,validation,7095.831822594811,7544.877993504591,834.8130641550135,6475.022004199315,8614.733982809867,5908.674453937285,9181.081533071898,289.1950978908979,-7.790814706866748
LocalLevelSV,2020-01-01,2021-01-01,12,validation,4841.863004371764,7544.877993504591,1141.6321696135842,6081.817499259767,9007.938487749416,5307.320057469706,9782.435929539477,2065.76200800541,-10.762097392118173
BoPIdentity,2020-01-01,2020-02-01,1,validation,7941.515070351391,7512.733529432759,,,,,,,
BoPIdentity,2020-01-01,2020-04-01,3,validation,7209.520101152639,7512.733529432759,,,,,,,
BoPIdentity,2020-01-01,2020-07-01,6,validation,7095.831822594811,7512.733529432759,,,,,,,
BoPIdentity,2020-01-01,2021-01-01,12,validation,4841.863004371764,7512.733529432759,,,,,,,
Naive,2020-02-01,2020-03-01,1,validation,7533.736569408685,7512.733529432759,461.33232072332765,6921.51237157327,8103.954687292247,6608.53879591078,8416.928262954738,108.19245316279155,-7.0540935360015045
Naive,2020-02-01,2020-05-01,3,validation,6499.857251537734,7512.733529432759,461.33232072332765,6921.51237157327,8103.954687292247,6608.53879591078,8416.928262954738,757.1640208154128,-9.463268050002409
Naive,2020-02-01,2020-08-01,6,validation,7430.083006707859,7512.733529432759,461.33232072332765,6921.51237157327,8103.954687292247,6608.53879591078,8416.928262954738,113.70257273749019,-7.069105648895524
Naive,2020-02-01,2021-02-01,12,validation,4582.993424023525,7512.733529432759,461.33232072332765,6921.51237157327,8103.954687292247,6608.53879591078,8416.928262954738,2669.4612155152786,-27.21815961878606
ARIMA,2020-02-01,2020-03-01,1,validation,7533.736569408685,7963.738372291434,425.91750786492565,7417.903123294113,8509.573621288753,7128.955396491147,8798.521348091721,259.3880620065777,-7.4828195994629105
ARIMA,2020-02-01,2020-05-01,3,validation,6499.857251537734,7981.700319761935,621.0373542903133,7185.808926109259,8777.591713414611,6764.489472298913,9198.911167224956,1134.9837732928163,-10.197011955065065
ARIMA,2020-02-01,2020-08-01,6,validation,7430.083006707859,7514.314637160396,851.7593453983301,6422.741114597582,8605.88815972321,5844.896996684303,9183.732277636489,202.37228628946372,-7.671132311108395
ARIMA,2020-02-01,2021-02-01,12,validation,4582.993424023525,7488.081342031908,1190.2184537739129,5962.755019257401,9013.407664806415,5155.296038900152,9820.866645163664,2239.301648065051,-10.979588566885528
VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7681.5963339483105,422.9126414333795,7139.611976230592,8223.58069166603,6852.702788132207,8510.489879764413,119.24836458032823,-7.027222107110803
VECM,2020-02-01,2020-05-01,3,validation,6499.857251537734,7731.3733752452645,422.9126414333795,7189.389017527546,8273.357732962982,6902.479829429161,8560.266921061368,993.3526522856421,-11.205938380485758
VECM,2020-02-01,2020-08-01,6,validation,7430.083006707859,7819.149018193933,422.9126414333795,7277.1646604762145,8361.133375911651,6990.25547237783,8648.042564010037,232.34627378948002,-7.389274544167389
VECM,2020-02-01,2021-02-01,12,validation,4582.993424023525,7994.3729285342,422.9126414333795,7452.388570816481,8536.357286251918,7165.4793827180965,8823.266474350303,3172.776597463294,-39.49945092664787
BVAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,7629.075442893811,450.58125029808616,7051.632336169075,8206.518549618546,6745.952420200559,8512.198465587062,113.31647358101388,-7.051862295471898
BVAR,2020-02-01,2020-05-01,3,validation,6499.857251537734,7685.8686630475695,687.8645050375725,6804.334829733832,8567.402496361306,6337.679006930493,9034.058319164646,821.6386072443927,-8.938951781080995
BVAR,2020-02-01,2020-08-01,6,validation,7430.083006707859,7833.053605765714,904.9560748404344,6673.3057313044965,8992.80148022693,6059.372291487777,9606.734920043651,281.91003171667427,-7.8259678644258575
BVAR,2020-02-01,2021-02-01,12,validation,4582.993424023525,8127.714297497791,1242.3091948601525,6535.631003933815,9719.797591061768,5692.833017909008,10562.595577086575,2845.4015599973445,-12.114418139985647
XGBoost,2020-02-01,2020-03-01,1,validation,7533.736569408685,7817.13427734375,9.735118748255392,7804.658220671156,7829.610334016344,7798.053795211949,7836.214759475551,277.9052553426991,-426.91584997229916
XGBoost,2020-02-01,2020-05-01,3,validation,6499.857251537734,7847.93701171875,9.735118748255392,7835.460955046156,7860.413068391344,7828.856529586949,7867.017493850551,1342.5873075886504,-9590.988233966109
XGBoost,2020-02-01,2020-08-01,6,validation,7430.083006707859,8263.8583984375,9.735118748255392,8251.382341764907,8276.334455110093,8244.777916305698,8282.938880569302,828.2829391372752,-3670.8257535051607
XGBoost,2020-02-01,2021-02-01,12,validation,4582.993424023525,8109.77587890625,9.735118748255392,8097.299822233656,8122.251935578844,8090.695396774449,8128.856361038051,3521.2900022903586,-65624.49633495262
MS-VAR,2020-02-01,2020-03-01,1,validation,7533.736569408685,8096.996631093607,461.33232072332765,7505.775473234118,8688.217788953096,7192.801897571629,9001.191364615586,352.5603648172833,-7.798407015933569
MS-VAR,2020-02-01,2020-05-01,3,validation,6499.857251537734,8217.214442986833,461.33232072332765,7625.993285127344,8808.435600846322,7313.019709464855,9121.409176508812,1457.0999677965087,-13.981944623811735
MS-VAR,2020-02-01,2020-08-01,6,validation,7430.083006707859,8291.715234018006,461.33232072332765,7700.494076158517,8882.936391877494,7387.520500496027,9195.909967539985,612.4408370207613,-8.797216328137951
MS-VAR,2020-02-01,2021-02-01,12,validation,4582.993424023525,8381.095437071974,461.33232072332765,7789.874279212485,8972.316594931463,7476.900703549995,9285.290170593953,3537.8231231424343,-40.943363217529715
MS-VECM,2020-02-01,2020-03-01,1,validation,7533.736569408685,8077.615722325422,461.33232072332765,7486.394564465933,8668.83688018491,7173.420988803444,8981.8104558474,337.64091395533615,-7.747996793830798
MS-VECM,2020-02-01,2020-05-01,3,validation,6499.857251537734,8126.904641708475,461.33232072332765,7535.683483848986,8718.125799567963,7222.709908186496,9031.099375230453,1366.8168400713498,-13.272373495163462
MS-VECM,2020-02-01,2020-08-01,6,validation,7430.083006707859,8101.912325466463,461.33232072332765,7510.691167606974,8693.133483325952,7197.717591944484,9006.107058988442,441.40233139060336,-8.113433810081652
MS-VECM,2020-02-01,2021-02-01,12,validation,4582.993424023525,8021.053147735882,461.33232072332765,7429.831989876393,8612.27430559537,7116.858414213903,8925.247881257861,3177.780833806345,-34.82262197513307
LSTM,2020-02-01,2020-03-01,1,validation,7533.736569408685,7848.908736133385,,,,,,,
LSTM,2020-02-01,2020-05-01,3,validation,6499.857251537734,7823.534982606296,,,,,,,
LSTM,2020-02-01,2020-08-01,6,validation,7430.083006707859,7777.727433489479,,,,,,,
LSTM,2020-02-01,2021-02-01,12,validation,4582.993424023525,7714.8820235104195,,,,,,,
LocalLevelSV,2020-02-01,2020-03-01,1,validation,7533.736569408685,7544.877993504591,437.6873540629226,6983.959079686004,8105.796907323179,6687.026543052656,8402.729443956527,102.39847415662943,-7.0007673690848184
LocalLevelSV,2020-02-01,2020-05-01,3,validation,6499.857251537734,7544.877993504591,627.4609731110887,6740.754401095686,8349.001585913496,6315.077084502436,8774.678902506746,715.9661528875473,-8.747523967712544
LocalLevelSV,2020-02-01,2020-08-01,6,validation,7430.083006707859,7544.877993504591,834.8130641550135,6475.022004199315,8614.733982809867,5908.674453937285,9181.081533071898,201.37920024114933,-7.65560083180939
LocalLevelSV,2020-02-01,2021-02-01,12,validation,4582.993424023525,7544.877993504591,1141.6321696135842,6081.817499259767,9007.938487749416,5307.320057469706,9782.435929539477,2321.1895867834683,-11.324685881019516
BoPIdentity,2020-02-01,2020-03-01,1,validation,7533.736569408685,7512.733529432759,,,,,,,
BoPIdentity,2020-02-01,2020-05-01,3,validation,6499.857251537734,7512.733529432759,,,,,,,
